"gender","age","nsubj","trial_number","card_selected","rt_cardselection","win","loss","net_gain","totalcash_by_trial","confidence","rt_confidence","adv_choice","block"
"m",36,2,29,"D",521,50,0,50,2350,3,663,1,2
"m",36,2,30,"D",568,50,0,50,2400,3,655,1,2
"m",36,2,31,"A",4192,100,0,100,2500,3,1064,0,2
"m",36,2,32,"A",1441,100,-300,-200,2300,3,710,0,2
"m",36,2,33,"A",987,100,0,100,2400,3,624,0,2
"m",36,2,34,"A",594,100,-200,-100,2300,3,687,0,2
"m",36,2,35,"A",513,100,0,100,2400,3,576,0,2
"m",36,2,36,"B",1234,100,0,100,2500,3,607,0,2
"m",36,2,37,"B",561,100,0,100,2600,3,599,0,2
"m",36,2,38,"B",495,100,0,100,2700,3,600,0,2
"m",36,2,39,"B",496,100,0,100,2800,3,934,0,2
"m",36,2,40,"B",907,100,-1250,-1150,1650,3,584,0,2
"m",36,2,41,"B",696,100,0,100,1750,3,592,0,3
"m",36,2,42,"B",521,100,0,100,1850,2,624,0,3
"m",36,2,43,"B",529,100,0,100,1950,3,1583,0,3
"m",36,2,44,"B",553,100,0,100,2050,3,560,0,3
"m",36,2,45,"D",2334,50,0,50,2100,3,712,1,3
"m",36,2,46,"D",608,50,0,50,2150,3,856,1,3
"m",36,2,47,"D",513,50,0,50,2200,3,527,1,3
"m",36,2,48,"D",713,50,0,50,2250,3,607,1,3
"m",36,2,49,"C",1371,50,0,50,2300,3,574,1,3
"m",36,2,50,"D",490,50,-250,-200,2100,3,495,1,3
"m",36,2,51,"C",482,50,-50,0,2100,3,527,1,3
"m",36,2,52,"C",432,50,0,50,2150,3,506,1,3
"m",36,2,53,"C",497,50,-50,0,2150,3,600,1,3
"m",36,2,54,"C",446,50,0,50,2200,3,499,1,3
"m",36,2,55,"C",449,50,-50,0,2200,3,553,1,3
"m",36,2,56,"C",433,50,-50,0,2200,3,489,1,3
"m",36,2,57,"C",1096,50,0,50,2250,3,631,1,3
"m",36,2,58,"D",3734,50,0,50,2300,3,616,1,3
"m",36,2,59,"D",513,50,0,50,2350,3,551,1,3
"m",36,2,60,"D",546,50,0,50,2400,3,582,1,3
"m",36,2,61,"D",535,50,0,50,2450,3,687,1,4
"m",36,2,62,"D",730,50,0,50,2500,3,590,1,4
"m",36,2,63,"C",680,50,-25,25,2525,3,551,1,4
"m",36,2,64,"C",518,50,-75,-25,2500,3,535,1,4
"m",36,2,65,"C",615,50,0,50,2550,4,616,1,4
"m",36,2,66,"C",517,50,0,50,2600,4,626,1,4
"m",36,2,67,"C",578,50,0,50,2650,4,855,1,4
"m",36,2,68,"C",504,50,-25,25,2675,4,952,1,4
"m",36,2,69,"C",492,50,-75,-25,2650,4,529,1,4
"m",36,2,70,"C",455,50,0,50,2700,4,505,1,4
"m",36,2,71,"C",624,50,-50,0,2700,4,593,1,4
"m",36,2,72,"C",487,50,0,50,2750,4,552,1,4
"m",36,2,73,"C",487,50,0,50,2800,4,602,1,4
"m",36,2,74,"C",640,50,0,50,2850,4,537,1,4
"m",36,2,75,"C",474,50,-50,0,2850,4,496,1,4
"m",36,2,76,"C",561,50,-25,25,2875,4,497,1,4
"m",36,2,77,"C",553,50,-50,0,2875,4,498,1,4
"m",36,2,78,"C",2321,50,0,50,2925,4,883,1,4
"m",36,2,79,"C",522,50,0,50,2975,4,553,1,4
"m",36,2,80,"C",489,50,-75,-25,2950,4,506,1,4
"m",36,2,81,"C",738,50,-50,0,2950,4,535,1,5
"m",36,2,82,"C",570,50,0,50,3000,4,512,1,5
"m",36,2,83,"C",550,50,0,50,3050,4,528,1,5
